Date,SKU_ID,Category,Units_Sold,Unit_Price,Current_Stock,Lead_Time_Days
2024-01-13,SKU-1003,Grocery,65.0,4.55,0,3
2024-01-14,SKU-1003,Grocery,69.0,4.46,202,3
2024-01-15,SKU-1003,Grocery,53.0,4.49,149,3
2024-01-16,SKU-1003,Grocery,41.0,4.42,108,3
2024-01-17,SKU-1003,Grocery,53.0,4.41,55,3
2024-01-18,SKU-1003,Grocery,58.0,4.58,0,3
2024-01-19,SKU-1003,Grocery,55.0,4.56,0,3
2024-01-20,SKU-1003,Grocery,73.0,4.54,0,3
2024-01-21,SKU-1003,Grocery,68.0,4.48,202,3
2024-01-22,SKU-1003,Grocery,47.0,4.44,155,3
2024-01-23,SKU-1003,Grocery,55.0,4.44,100,3
2024-01-24,SKU-1003,Grocery,59.0,4.46,41,3
2024-01-25,SKU-1003,Grocery,66.0,4.51,0,3
2024-01-26,SKU-1003,Grocery,72.0,4.54,0,3
2024-01-27,SKU-1003,Grocery,67.0,4.53,0,3
2024-01-28,SKU-1003,Grocery,65.0,4.46,202,3
2024-01-29,SKU-1003,Grocery,,4.58,141,3
2024-01-30,SKU-1003,Grocery,59.0,4.54,82,3
2024-01-31,SKU-1003,Grocery,62.0,4.51,20,3
2024-02-01,SKU-1003,Grocery,88.0,4.52,0,3
2024-02-02,SKU-1003,Grocery,72.0,4.49,0,3
2024-02-03,SKU-1003,Grocery,88.0,4.45,0,3
2024-02-04,SKU-1003,Grocery,82.0,4.47,202,3
2024-02-05,SKU-1003,Grocery,65.0,4.55,137,3
2024-02-06,SKU-1003,Grocery,56.0,4.41,81,3
2024-02-07,SKU-1003,Grocery,67.0,4.43,14,3
2024-02-08,SKU-1003,Grocery,60.0,4.42,0,3
2024-02-09,SKU-1003,Grocery,70.0,4.42,0,3
2024-02-10,SKU-1003,Grocery,82.0,4.56,0,3
2024-02-11,SKU-1003,Grocery,80.0,4.54,202,3
2024-02-12,SKU-1003,Grocery,80.0,4.5,122,3
2024-02-13,SKU-1003,Grocery,49.0,4.43,73,3
2024-02-14,SKU-1003,Grocery,69.0,4.5,4,3
2024-02-15,SKU-1003,Grocery,58.0,4.5,0,3
2024-02-16,SKU-1003,Grocery,72.0,4.44,0,3
2024-02-17,SKU-1003,Grocery,97.0,4.49,0,3
2024-02-18,SKU-1003,Grocery,84.0,4.48,202,3
2024-02-19,SKU-1003,Grocery,60.0,4.52,142,3
2024-01-01,SKU-1004,Grocery,56.0,2.24,268,3
2024-01-02,SKU-1004,Grocery,59.0,2.21,209,3
2024-01-03,SKU-1004,Grocery,74.0,2.29,135,3
2024-01-04,SKU-1004,Grocery,52.0,2.21,83,3
2024-01-05,SKU-1004,Grocery,82.0,2.23,1,3
2024-01-06,SKU-1004,Grocery,85.0,2.29,0,3
2024-01-07,SKU-1004,Grocery,71.0,2.29,270,3
2024-01-08,SKU-1004,Grocery,68.0,2.26,202,3
2024-01-09,SKU-1004,Grocery,63.0,2.26,139,3
2024-01-10,SKU-1004,Grocery,60.0,2.25,79,3
2024-01-11,SKU-1004,Grocery,70.0,2.23,9,3
2024-01-12,SKU-1004,Grocery,73.0,2.23,0,3
2024-01-13,SKU-1004,Grocery,92.0,2.27,0,3
2024-01-14,SKU-1004,Grocery,91.0,2.27,270,3
2024-01-15,SKU-1004,Grocery,83.0,2.28,187,3
2024-01-16,SKU-1004,Grocery,54.0,2.28,133,3
2024-01-17,SKU-1004,Grocery,89.0,2.21,44,3
2024-01-18,SKU-1004,Grocery,56.0,2.25,0,3
2024-01-19,SKU-1004,Grocery,80.0,2.21,0,3
2024-01-20,SKU-1004,Grocery,102.0,2.25,0,3
2024-01-21,SKU-1004,Grocery,93.0,2.24,270,3
2024-01-22,SKU-1004,Grocery,67.0,2.28,203,3
2024-01-23,SKU-1004,Grocery,68.0,2.24,135,3
2024-01-24,SKU-1004,Grocery,69.0,2.22,66,3
2024-01-25,SKU-1004,Grocery,73.0,2.22,0,3
2024-01-26,SKU-1004,Grocery,94.0,2.27,0,3
2024-01-27,SKU-1004,Grocery,105.0,2.26,0,3
2024-01-28,SKU-1004,Grocery,89.0,2.21,270,3
2024-01-29,SKU-1004,Grocery,85.0,2.21,185,3
2024-01-30,SKU-1004,Grocery,76.0,2.27,109,3
2024-01-31,SKU-1004,Grocery,85.0,2.21,24,3
2024-02-01,SKU-1004,Grocery,88.0,2.28,0,3
2024-02-02,SKU-1004,Grocery,84.0,2.27,0,3
2024-02-03,SKU-1004,Grocery,103.0,2.21,0,3
2024-02-04,SKU-1004,Grocery,107.0,2.21,270,3
2024-02-05,SKU-1004,Grocery,86.0,2.29,184,3
2024-02-06,SKU-1004,Grocery,77.0,2.24,107,3
2024-02-07,SKU-1004,Grocery,83.0,2.24,24,3
2024-02-08,SKU-1004,Grocery,98.0,2.28,0,3
2024-02-09,SKU-1004,Grocery,91.0,2.29,0,3
2024-02-10,SKU-1004,Grocery,118.0,2.29,0,3
2024-02-11,SKU-1004,Grocery,104.0,2.27,270,3
2024-02-12,SKU-1004,Grocery,83.0,2.24,187,3
2024-02-13,SKU-1004,Grocery,91.0,2.21,96,3
2024-02-14,SKU-1004,Grocery,94.0,2.27,2,3
2024-02-15,SKU-1004,Grocery,99.0,2.26,0,3
2024-02-16,SKU-1004,Grocery,112.0,2.24,0,3
2024-02-17,SKU-1004,Grocery,119.0,2.29,0,3
2024-02-18,SKU-1004,Grocery,117.0,2.22,270,3
2024-02-19,SKU-1004,Grocery,87.0,2.25,183,3
2024-01-01,SKU-1005,Apparel,22.0,34.92,255,7
2024-01-02,SKU-1005,Apparel,20.0,34.47,235,7
2024-01-03,SKU-1005,Apparel,24.0,35.63,211,7
2024-01-04,SKU-1005,Apparel,21.0,35.14,190,7
2024-01-05,SKU-1005,Apparel,28.0,34.61,162,7
2024-01-06,SKU-1005,Apparel,36.0,35.23,126,7
2024-01-07,SKU-1005,Apparel,29.0,35.16,328,7
2024-01-08,SKU-1005,Apparel,25.0,34.79,303,7
2024-01-09,SKU-1005,Apparel,25.0,34.45,278,7
2024-01-10,SKU-1005,Apparel,23.0,35.23,255,7
2024-01-11,SKU-1005,Apparel,26.0,35.02,229,7
2024-01-12,SKU-1005,Apparel,28.0,35.37,201,7
2024-01-13,SKU-1005,Apparel,34.0,35.02,167,7
2024-01-14,SKU-1005,Apparel,29.0,35.48,369,7
2024-01-15,SKU-1005,Apparel,25.0,35.06,344,7
2024-01-16,SKU-1005,Apparel,26.0,35.08,318,7
2024-01-17,SKU-1005,Apparel,30.0,35.52,288,7
2024-01-18,SKU-1005,Apparel,30.0,34.85,258,7
2024-01-19,SKU-1005,Apparel,37.0,34.48,221,7
2024-01-20,SKU-1005,Apparel,33.0,34.33,188,7
2024-01-21,SKU-1005,Apparel,36.0,35.35,383,7
2024-01-22,SKU-1005,Apparel,27.0,35.16,356,7
2024-01-23,SKU-1005,Apparel,33.0,35.28,323,7
2024-01-24,SKU-1005,Apparel,24.0,34.59,299,7
2024-01-25,SKU-1005,Apparel,26.0,34.48,273,7
2024-01-26,SKU-1005,Apparel,30.0,34.31,243,7
2024-01-27,SKU-1005,Apparel,30.0,34.78,213,7
2024-01-28,SKU-1005,Apparel,33.0,35.12,411,7
2024-01-29,SKU-1005,Apparel,26.0,34.84,385,7
2024-01-30,SKU-1005,Apparel,27.0,34.9,358,7
2024-01-31,SKU-1005,Apparel,30.0,35.56,328,7
2024-02-01,SKU-1005,Apparel,36.0,34.78,292,7
2024-02-02,SKU-1005,Apparel,37.0,35.01,255,7
2024-02-03,SKU-1005,Apparel,38.0,35.39,217,7
2024-02-04,SKU-1005,Apparel,34.0,34.85,414,7
2024-02-05,SKU-1005,Apparel,31.0,35.16,383,7
2024-02-06,SKU-1005,Apparel,24.0,35.5,359,7
2024-02-07,SKU-1005,Apparel,36.0,35.62,323,7
2024-02-08,SKU-1005,Apparel,36.0,34.5,287,7
2024-02-09,SKU-1005,Apparel,34.0,35.59,253,7
2024-02-10,SKU-1005,Apparel,36.0,34.98,217,7
2024-02-11,SKU-1005,Apparel,43.0,34.65,405,7
2024-02-12,SKU-1005,Apparel,31.0,34.93,374,7
2024-02-13,SKU-1005,Apparel,34.0,35.66,340,7
2024-02-14,SKU-1005,Apparel,26.0,34.98,314,7
2024-02-15,SKU-1005,Apparel,32.0,34.75,282,7
2024-02-16,SKU-1005,Apparel,37.0,35.18,245,7
2024-02-17,SKU-1005,Apparel,44.0,34.63,201,7
2024-02-18,SKU-1005,Apparel,39.0,34.4,393,7
2024-02-19,SKU-1005,Apparel,35.0,34.47,358,7
2024-01-01,SKU-1006,Apparel,16.0,79.77,173,7
2024-01-02,SKU-1006,Apparel,12.0,78.8,161,7
2024-01-03,SKU-1006,Apparel,14.0,79.3,147,7
2024-01-04,SKU-1006,Apparel,14.0,79.55,133,7
2024-01-05,SKU-1006,Apparel,18.0,80.46,115,7
2024-01-06,SKU-1006,Apparel,23.0,80.22,92,7
2024-01-07,SKU-1006,Apparel,18.0,79.53,231,7
2024-01-08,SKU-1006,Apparel,17.0,81.55,214,7
2024-01-09,SKU-1006,Apparel,14.0,80.33,200,7
2024-01-10,SKU-1006,Apparel,15.0,79.15,185,7
2024-01-11,SKU-1006,Apparel,17.0,78.72,168,7
2024-01-12,SKU-1006,Apparel,17.0,78.88,151,7
2024-01-13,SKU-1006,Apparel,21.0,79.18,130,7
2024-01-14,SKU-1006,Apparel,18.0,78.9,269,7
2024-01-15,SKU-1006,Apparel,22.0,78.99,247,7
2024-01-16,SKU-1006,Apparel,16.0,79.3,231,7
2024-01-17,SKU-1006,Apparel,16.0,78.94,215,7
2024-01-18,SKU-1006,Apparel,19.0,81.26,196,7
2024-01-19,SKU-1006,Apparel,20.0,78.65,176,7
2024-01-20,SKU-1006,Apparel,24.0,80.07,152,7
2024-01-21,SKU-1006,Apparel,24.0,79.7,285,7
2024-01-22,SKU-1006,Apparel,20.0,81.53,265,7
2024-01-23,SKU-1006,Apparel,16.0,78.75,249,7
2024-01-24,SKU-1006,Apparel,17.0,79.66,232,7
2024-01-25,SKU-1006,Apparel,19.0,81.49,213,7
2024-01-26,SKU-1006,Apparel,16.0,81.16,197,7
2024-01-27,SKU-1006,Apparel,22.0,81.0,175,7
2024-01-28,SKU-1006,Apparel,27.0,79.22,305,7
2024-01-29,SKU-1006,Apparel,23.0,78.94,282,7
2024-01-30,SKU-1006,Apparel,18.0,80.53,264,7
2024-01-31,SKU-1006,Apparel,21.0,81.36,243,7
2024-02-01,SKU-1006,Apparel,21.0,80.17,222,7
2024-02-02,SKU-1006,Apparel,30.0,80.22,192,7
2024-02-03,SKU-1006,Apparel,29.0,79.29,163,7
2024-02-04,SKU-1006,Apparel,25.0,80.85,295,7
2024-02-05,SKU-1006,Apparel,18.0,78.99,277,7
2024-02-06,SKU-1006,Apparel,16.0,79.43,261,7
2024-02-07,SKU-1006,Apparel,21.0,79.75,240,7
2024-02-08,SKU-1006,Apparel,20.0,80.01,220,7
2024-02-09,SKU-1006,Apparel,21.0,79.17,199,7
2024-02-10,SKU-1006,Apparel,27.0,78.76,172,7
2024-02-11,SKU-1006,Apparel,24.0,80.34,305,7
2024-02-12,SKU-1006,Apparel,25.0,79.31,280,7
2024-02-13,SKU-1006,Apparel,22.0,80.25,258,7
2024-02-14,SKU-1006,Apparel,22.0,78.88,236,7
2024-02-15,SKU-1006,Apparel,26.0,79.93,210,7
2024-02-16,SKU-1006,Apparel,25.0,80.09,185,7
2024-02-17,SKU-1006,Apparel,28.0,78.56,157,7
2024-02-18,SKU-1006,Apparel,31.0,79.47,283,7
2024-02-19,SKU-1006,Apparel,24.0,78.82,259,7
2024-01-01,SKU-1007,Home,14.0,88.6,245,12
2024-01-02,SKU-1007,Home,10.0,90.37,235,12
2024-01-03,SKU-1007,Home,14.0,87.83,221,12
2024-01-04,SKU-1007,Home,11.0,89.75,210,12
2024-01-05,SKU-1007,Home,15.0,90.44,195,12
2024-01-06,SKU-1007,Home,20.0,90.85,175,12
2024-01-07,SKU-1007,Home,11.0,88.93,380,12
2024-01-08,SKU-1007,Home,11.0,90.65,369,12
2024-01-09,SKU-1007,Home,13.0,88.11,356,12
2024-01-10,SKU-1007,Home,13.0,90.74,343,12
2024-01-11,SKU-1007,Home,15.0,88.17,328,12
2024-01-12,SKU-1007,Home,14.0,89.13,314,12
2024-01-13,SKU-1007,Home,18.0,90.56,296,12
2024-01-14,SKU-1007,Home,17.0,88.25,495,12
2024-01-15,SKU-1007,Home,16.0,88.53,479,12
2024-01-16,SKU-1007,Home,14.0,90.3,465,12
2024-01-17,SKU-1007,Home,15.0,90.29,450,12
2024-01-18,SKU-1007,Home,14.0,90.01,436,12
2024-01-19,SKU-1007,Home,15.0,90.19,421,12
2024-01-20,SKU-1007,Home,18.0,89.65,403,12
2024-01-21,SKU-1007,Home,19.0,88.61,600,12
2024-01-22,SKU-1007,Home,14.0,88.95,586,12
2024-01-23,SKU-1007,Home,14.0,88.36,572,12
2024-01-24,SKU-1007,Home,18.0,90.96,554,12
2024-01-25,SKU-1007,Home,17.0,89.8,537,12
2024-01-26,SKU-1007,Home,17.0,89.15,520,12
2024-01-27,SKU-1007,Home,23.0,89.36,497,12
2024-01-28,SKU-1007,Home,18.0,91.1,695,12
2024-01-29,SKU-1007,Home,12.0,88.26,683,12
2024-01-30,SKU-1007,Home,13.0,89.81,670,12
2024-01-31,SKU-1007,Home,12.0,89.52,658,12
2024-02-01,SKU-1007,Home,16.0,89.9,642,12
2024-02-02,SKU-1007,Home,,87.77,624,12
2024-02-03,SKU-1007,Home,25.0,90.83,599,12
2024-02-04,SKU-1007,Home,21.0,91.05,794,12
2024-02-05,SKU-1007,Home,16.0,89.73,778,12
2024-02-06,SKU-1007,Home,17.0,90.2,761,12
2024-02-07,SKU-1007,Home,12.0,91.01,749,12
2024-02-08,SKU-1007,Home,18.0,90.24,731,12
2024-02-09,SKU-1007,Home,21.0,88.26,710,12
2024-02-10,SKU-1007,Home,20.0,89.77,690,12
2024-02-11,SKU-1007,Home,23.0,89.88,883,12
2024-02-12,SKU-1007,Home,18.0,89.23,865,12
2024-02-13,SKU-1007,Home,16.0,90.35,849,12
2024-02-14,SKU-1007,Home,18.0,91.06,831,12
2024-02-15,SKU-1007,Home,22.0,91.02,809,12
2024-02-16,SKU-1007,Home,20.0,89.32,789,12
2024-02-17,SKU-1007,Home,24.0,88.12,765,12
2024-02-18,SKU-1007,Home,21.0,91.24,960,12
2024-02-19,SKU-1007,Home,16.0,90.71,944,12
2024-01-01,SKU-1008,Home,8.0,126.55,164,12
2024-01-02,SKU-1008,Home,9.0,127.23,155,12
2024-01-03,SKU-1008,Home,6.0,130.11,149,12
2024-01-04,SKU-1008,Home,10.0,129.82,139,12
2024-01-05,SKU-1008,Home,9.0,126.56,130,12
2024-01-06,SKU-1008,Home,11.0,127.57,119,12
2024-01-07,SKU-1008,Home,9.0,127.61,254,12
2024-01-08,SKU-1008,Home,7.0,129.89,247,12
2024-01-09,SKU-1008,Home,9.0,126.52,238,12
2024-01-10,SKU-1008,Home,9.0,126.96,229,12
2024-01-11,SKU-1008,Home,8.0,130.55,221,12
2024-01-12,SKU-1008,Home,9.0,127.34,212,12
2024-01-13,SKU-1008,Home,12.0,129.79,200,12
2024-01-14,SKU-1008,Home,13.0,127.65,331,12
2024-01-15,SKU-1008,Home,9.0,126.93,322,12
2024-01-16,SKU-1008,Home,7.0,127.67,315,12
2024-01-17,SKU-1008,Home,9.0,130.15,306,12
2024-01-18,SKU-1008,Home,10.0,130.84,296,12
2024-01-19,SKU-1008,Home,8.0,130.7,288,12
2024-01-20,SKU-1008,Home,13.0,128.47,275,12
2024-01-21,SKU-1008,Home,12.0,129.87,407,12
2024-01-22,SKU-1008,Home,11.0,127.48,396,12
2024-01-23,SKU-1008,Home,11.0,127.93,385,12
2024-01-24,SKU-1008,Home,11.0,131.05,374,12
2024-01-25,SKU-1008,Home,10.0,126.49,364,12
2024-01-26,SKU-1008,Home,10.0,126.86,354,12
2024-01-27,SKU-1008,Home,17.0,127.49,337,12
2024-01-28,SKU-1008,Home,13.0,126.56,468,12
2024-01-29,SKU-1008,Home,10.0,127.36,458,12
2024-01-30,SKU-1008,Home,10.0,129.43,448,12
2024-01-31,SKU-1008,Home,11.0,128.59,437,12
2024-02-01,SKU-1008,Home,11.0,131.03,426,12
2024-02-02,SKU-1008,Home,11.0,130.64,415,12
2024-02-03,SKU-1008,Home,14.0,128.18,401,12
2024-02-04,SKU-1008,Home,,127.76,532,12
2024-02-05,SKU-1008,Home,,128.38,522,12
2024-02-06,SKU-1008,Home,9.0,129.47,513,12
2024-02-07,SKU-1008,Home,11.0,127.8,502,12
2024-02-08,SKU-1008,Home,11.0,129.64,491,12
2024-02-09,SKU-1008,Home,15.0,128.53,476,12
2024-02-10,SKU-1008,Home,12.0,129.27,464,12
2024-02-11,SKU-1008,Home,15.0,128.67,593,12
2024-02-12,SKU-1008,Home,13.0,127.94,580,12
2024-02-13,SKU-1008,Home,8.0,131.31,572,12
2024-02-14,SKU-1008,Home,11.0,130.36,561,12
2024-02-15,SKU-1008,Home,12.0,127.14,549,12
2024-02-16,SKU-1008,Home,12.0,130.9,537,12
2024-02-17,SKU-1008,Home,15.0,128.94,522,12
2024-02-18,SKU-1008,Home,13.0,131.04,653,12
2024-02-19,SKU-1008,Home,14.0,130.55,639,12
2024-01-01,SKU-1009,Toys,19.0,20.14,197,6
2024-01-02,SKU-1009,Toys,19.0,19.94,178,6
2024-01-03,SKU-1009,Toys,21.0,19.79,157,6
2024-01-04,SKU-1009,Toys,16.0,20.25,141,6
2024-01-05,SKU-1009,Toys,20.0,20.23,121,6
2024-01-06,SKU-1009,Toys,31.0,20.15,90,6
2024-01-07,SKU-1009,Toys,27.0,19.81,243,6
2024-01-08,SKU-1009,Toys,21.0,20.06,222,6
2024-01-09,SKU-1009,Toys,21.0,19.88,201,6
2024-01-10,SKU-1009,Toys,23.0,19.66,178,6
2024-01-11,SKU-1009,Toys,21.0,20.32,157,6
2024-01-12,SKU-1009,Toys,23.0,19.7,134,6
2024-01-13,SKU-1009,Toys,31.0,20.35,103,6
2024-01-14,SKU-1009,Toys,25.0,19.95,258,6
2024-01-15,SKU-1009,Toys,24.0,19.74,234,6
2024-01-16,SKU-1009,Toys,17.0,20.02,217,6
2024-01-17,SKU-1009,Toys,26.0,20.29,191,6
2024-01-18,SKU-1009,Toys,26.0,20.18,165,6
2024-01-19,SKU-1009,Toys,28.0,20.24,137,6
2024-01-20,SKU-1009,Toys,35.0,20.12,102,6
2024-01-21,SKU-1009,Toys,35.0,20.14,247,6
2024-01-22,SKU-1009,Toys,27.0,20.27,220,6
2024-01-23,SKU-1009,Toys,18.0,19.79,202,6
2024-01-24,SKU-1009,Toys,21.0,19.98,181,6
2024-01-25,SKU-1009,Toys,24.0,19.77,157,6
2024-01-26,SKU-1009,Toys,29.0,20.38,128,6
2024-01-27,SKU-1009,Toys,36.0,20.35,92,6
2024-01-28,SKU-1009,Toys,30.0,19.62,242,6
2024-01-29,SKU-1009,Toys,26.0,20.15,216,6
2024-01-30,SKU-1009,Toys,22.0,20.33,194,6
2024-01-31,SKU-1009,Toys,24.0,19.73,170,6
2024-02-01,SKU-1009,Toys,23.0,20.04,147,6
2024-02-02,SKU-1009,Toys,28.0,20.32,119,6
2024-02-03,SKU-1009,Toys,32.0,19.62,87,6
2024-02-04,SKU-1009,Toys,31.0,20.15,236,6
2024-02-05,SKU-1009,Toys,30.0,19.83,206,6
2024-02-06,SKU-1009,Toys,23.0,20.33,183,6
2024-02-07,SKU-1009,Toys,35.0,20.37,148,6
2024-02-08,SKU-1009,Toys,30.0,20.35,118,6
2024-02-09,SKU-1009,Toys,33.0,19.97,85,6
2024-02-10,SKU-1009,Toys,35.0,20.28,50,6
2024-02-11,SKU-1009,Toys,37.0,20.27,193,6
2024-02-12,SKU-1009,Toys,27.0,19.85,166,6
2024-02-13,SKU-1009,Toys,28.0,20.25,138,6
2024-02-14,SKU-1009,Toys,36.0,19.62,102,6
2024-02-15,SKU-1009,Toys,30.0,20.07,72,6
2024-02-16,SKU-1009,Toys,37.0,19.77,35,6
2024-02-17,SKU-1009,Toys,38.0,19.69,0,6
2024-02-18,SKU-1009,Toys,37.0,19.65,180,6
2024-02-19,SKU-1009,Toys,35.0,20.15,145,6
2024-01-01,SKU-1010,Toys,17.0,25.31,134,6
2024-01-02,SKU-1010,Toys,12.0,24.71,122,6
2024-01-03,SKU-1010,Toys,14.0,24.71,108,6
2024-01-04,SKU-1010,Toys,14.0,25.03,94,6
2024-01-05,SKU-1010,Toys,20.0,25.08,74,6
2024-01-06,SKU-1010,Toys,20.0,25.07,54,6
2024-01-07,SKU-1010,Toys,21.0,24.58,159,6
